Date,ConsumerSentiment
11/1/1952,86.2
12/1/1952,.
1/1/1953,.
2/1/1953,90.7
3/1/1953,.
4/1/1953,.
5/1/1953,.
6/1/1953,.
7/1/1953,.
8/1/1953,80.8
9/1/1953,.
10/1/1953,.
11/1/1953,80.7
12/1/1953,.
1/1/1954,.
2/1/1954,82
3/1/1954,.
4/1/1954,.
5/1/1954,82.9
6/1/1954,.
7/1/1954,.
8/1/1954,.
9/1/1954,.
10/1/1954,.
11/1/1954,87
12/1/1954,.
1/1/1955,.
2/1/1955,95.9
3/1/1955,.
4/1/1955,.
5/1/1955,99.1
6/1/1955,.
7/1/1955,.
8/1/1955,.
9/1/1955,.
10/1/1955,.
11/1/1955,99.7
12/1/1955,.
1/1/1956,.
2/1/1956,.
3/1/1956,.
4/1/1956,.
5/1/1956,98.2
6/1/1956,.
7/1/1956,.
8/1/1956,99.9
9/1/1956,.
10/1/1956,.
11/1/1956,100.2
12/1/1956,.
1/1/1957,.
2/1/1957,.
3/1/1957,.
4/1/1957,.
5/1/1957,92.9
6/1/1957,.
7/1/1957,.
8/1/1957,.
9/1/1957,.
10/1/1957,.
11/1/1957,83.7
12/1/1957,.
1/1/1958,.
2/1/1958,78.5
3/1/1958,.
4/1/1958,.
5/1/1958,80.9
6/1/1958,.
7/1/1958,.
8/1/1958,.
9/1/1958,.
10/1/1958,.
11/1/1958,90.8
12/1/1958,.
1/1/1959,.
2/1/1959,.
3/1/1959,.
4/1/1959,.
5/1/1959,95.3
6/1/1959,.
7/1/1959,.
8/1/1959,.
9/1/1959,.
10/1/1959,.
11/1/1959,93.8
12/1/1959,.
1/1/1960,.
2/1/1960,100
3/1/1960,.
4/1/1960,.
5/1/1960,93.3
6/1/1960,.
7/1/1960,.
8/1/1960,97.2
9/1/1960,.
10/1/1960,.
11/1/1960,90.1
12/1/1960,.
1/1/1961,.
2/1/1961,91.6
3/1/1961,.
4/1/1961,.
5/1/1961,92.5
6/1/1961,.
7/1/1961,.
8/1/1961,99.2
9/1/1961,.
10/1/1961,.
11/1/1961,93
12/1/1961,.
1/1/1962,.
2/1/1962,99.9
3/1/1962,.
4/1/1962,.
5/1/1962,95.4
6/1/1962,.
7/1/1962,.
8/1/1962,91.6
9/1/1962,.
10/1/1962,.
11/1/1962,95
12/1/1962,.
1/1/1963,.
2/1/1963,98.4
3/1/1963,.
4/1/1963,.
5/1/1963,91.7
6/1/1963,.
7/1/1963,.
8/1/1963,96.4
9/1/1963,.
10/1/1963,.
11/1/1963,94.4
12/1/1963,.
1/1/1964,.
2/1/1964,99.5
3/1/1964,.
4/1/1964,.
5/1/1964,98.5
6/1/1964,.
7/1/1964,.
8/1/1964,100.6
9/1/1964,.
10/1/1964,.
