Date,USDindex
1/2/1973,108.2242
1/3/1973,108.2934
1/4/1973,108.2632
1/5/1973,108.2548
1/8/1973,108.3818
1/9/1973,108.3796
1/10/1973,108.2704
1/11/1973,108.2439
1/12/1973,108.2868
1/15/1973,108.3487
1/16/1973,108.3519
1/17/1973,108.3529
1/18/1973,108.3904
1/19/1973,108.4326
1/22/1973,108.2295
1/23/1973,108.1966
1/24/1973,108.0976
1/25/1973,108.0391
1/26/1973,108.0148
1/29/1973,107.7834
1/30/1973,107.6457
1/31/1973,107.6609
2/1/1973,107.4913
2/2/1973,107.5875
2/5/1973,107.5923
2/6/1973,107.5147
2/7/1973,107.4696
2/8/1973,107.349
2/9/1973,106.8249
2/12/1973,.
2/13/1973,.
2/14/1973,.
2/15/1973,101.172
2/16/1973,101.2201
2/19/1973,.
2/20/1973,101.5318
2/21/1973,101.4009
2/22/1973,100.9307
2/23/1973,100.4419
2/26/1973,100.7049
2/27/1973,100.5559
2/28/1973,100.1502
3/1/1973,99.9151
3/2/1973,.
3/5/1973,.
3/6/1973,99.7154
3/7/1973,99.6535
3/8/1973,99.4243
3/9/1973,99.4463
3/12/1973,99.2581
3/13/1973,99.3251
3/14/1973,99.3477
3/15/1973,99.339
3/16/1973,100.0096
3/19/1973,100.3217
3/20/1973,100.2734
3/21/1973,100.3074
3/22/1973,100.3403
3/23/1973,100.5449
3/26/1973,100.4594
3/27/1973,100.4158
3/28/1973,100.5169
3/29/1973,100.5877
3/30/1973,100.7986
4/2/1973,100.934
4/3/1973,101.0064
4/4/1973,100.646
4/5/1973,100.5913
4/6/1973,100.7374
4/9/1973,100.776
4/10/1973,100.7722
4/11/1973,100.6795
4/12/1973,100.7659
4/13/1973,100.7559
4/16/1973,100.8549
4/17/1973,100.7216
4/18/1973,100.7715
4/19/1973,100.8265
4/20/1973,100.8529
4/23/1973,100.8776
4/24/1973,100.9625
4/25/1973,100.9041
4/26/1973,100.9797
4/27/1973,100.972
4/30/1973,100.9402
5/1/1973,100.9368
5/2/1973,100.9108
5/3/1973,100.9315
5/4/1973,100.9615
5/7/1973,100.961
5/8/1973,100.8811
5/9/1973,100.7494
5/10/1973,100.7575
5/11/1973,100.7101
5/14/1973,100.1114
5/15/1973,99.4229
5/16/1973,99.744
5/17/1973,99.919
5/18/1973,99.757
5/21/1973,99.1901
5/22/1973,99.3476
5/23/1973,99.4282
5/24/1973,99.5563
5/25/1973,99.6711
5/28/1973,.
5/29/1973,99.4146
5/30/1973,99.0967
5/31/1973,98.8659
6/1/1973,98.6118
6/4/1973,97.8781
6/5/1973,97.9515
6/6/1973,98.5628
6/7/1973,98.6753
6/8/1973,98.5236
6/11/1973,98.5914
6/12/1973,98.5083
6/13/1973,98.7053
6/14/1973,98.6206
6/15/1973,98.4125
6/18/1973,98.1108
6/19/1973,98.2252
6/20/1973,98.2132
6/21/1973,98.0895
6/22/1973,97.9562
6/25/1973,97.9489
6/26/1973,97.8543
6/27/1973,97.6249
6/28/1973,97.21
6/29/1973,.
7/2/1973,96.6035
7/3/1973,96.4567
7/4/1973,.
7/5/1973,95.9352
7/6/1973,94.9438
7/9/1973,95.3517
7/10/1973,96.6447
7/11/1973,97.0165
7/12/1973,96.7277
7/13/1973,96.7458
7/16/1973,96.5118
7/17/1973,96.178
7/18/1973,95.9269
7/19/1973,96.4212
7/20/1973,96.1625
7/23/1973,96.1847
7/24/1973,96.229
7/25/1973,96.2547
7/26/1973,96.1926
7/27/1973,96.1867
7/30/1973,96.3941
7/31/1973,96.3768
8/1/1973,96.3399
8/2/1973,96.5225
8/3/1973,96.6396
8/6/1973,97.0157
8/7/1973,96.8713
8/8/1973,96.8634
8/9/1973,97.1383
8/10/1973,97.5186
8/13/1973,97.6036
8/14/1973,98.0392
8/15/1973,98.2357
8/16/1973,98.4535
8/17/1973,98.3469
8/20/1973,97.6577
8/21/1973,98.1366
8/22/1973,98.2425
8/23/1973,98.365
8/24/1973,98.1616
8/27/1973,98.2395
8/28/1973,98.2891
8/29/1973,98.0009
8/30/1973,98.1695
8/31/1973,98.1774
9/3/1973,.
9/4/1973,98.233
9/5/1973,98.1136
9/6/1973,98.224
9/7/1973,98.0835
9/10/1973,98.0288
9/11/1973,98.2322
9/12/1973,98.2085
9/13/1973,98.2124
9/14/1973,98.2057
9/17/1973,97.8024
9/18/1973,97.8183
9/19/1973,97.8431
9/20/1973,97.4766
9/21/1973,97.6944
9/24/1973,97.6311
9/25/1973,97.613
9/26/1973,97.624
9/27/1973,97.6692
9/28/1973,97.7211
10/1/1973,97.6891
10/2/1973,97.7515
10/3/1973,97.7484
10/4/1973,97.7768
10/5/1973,97.8102
10/8/1973,.
10/9/1973,97.7341
10/10/1973,97.5388
10/11/1973,97.4061
10/12/1973,97.4379
10/15/1973,97.4464
10/16/1973,97.3131
10/17/1973,97.1477
10/18/1973,97.1635
10/19/1973,97.3048
10/22/1973,.
10/23/1973,97.0347
10/24/1973,97.0417
10/25/1973,97.0597
10/26/1973,97.4307
10/29/1973,97.7612
10/30/1973,97.8037
10/31/1973,97.7895
11/1/1973,98.1381
11/2/1973,98.4853
11/5/1973,98.7502
11/6/1973,.
11/7/1973,99.4094
11/8/1973,99.529
11/9/1973,99.795
11/12/1973,100.4727
11/13/1973,100.8489
11/14/1973,100.6373
11/15/1973,100.6644
11/16/1973,100.6158
11/19/1973,100.5115
11/20/1973,100.6416
11/21/1973,100.6374
11/22/1973,.
11/23/1973,101.6711
11/26/1973,101.5405
11/27/1973,101.2777
11/28/1973,101.4587
11/29/1973,101.4412
11/30/1973,101.4103
12/3/1973,101.5473
12/4/1973,101.8078
12/5/1973,101.7007
12/6/1973,101.59
12/7/1973,101.7392
12/10/1973,101.9105
12/11/1973,101.9348
12/12/1973,101.7867
12/13/1973,101.7893
12/14/1973,101.8988
12/17/1973,101.9735
12/18/1973,102.0696
12/19/1973,102.0273
12/20/1973,102.0751
12/21/1973,102.0862
12/24/1973,.
12/25/1973,.
12/26/1973,.
12/27/1973,102.3874
12/28/1973,102.3444
12/31/1973,102.3204
1/1/1974,.
1/2/1974,103.0144
1/3/1974,103.4745
1/4/1974,103.4361
1/7/1974,106.2552
1/8/1974,106.246
1/9/1974,105.5672
1/10/1974,105.318
1/11/1974,105.4309
1/14/1974,105.7362
1/15/1974,106.2879
1/16/1974,106.1597
1/17/1974,106.3856
1/18/1974,106.1855
1/21/1974,107.4545
1/22/1974,107.3237
1/23/1974,107.4319
1/24/1974,106.6971
1/25/1974,106.622
1/28/1974,106.4617
1/29/1974,106.2224
1/30/1974,105.7829
1/31/1974,105.0775
2/1/1974,105.2082
2/4/1974,104.759
2/5/1974,104.6604
2/6/1974,105.0221
2/7/1974,104.8359
2/8/1974,104.8342
2/11/1974,104.536
2/12/1974,.
2/13/1974,103.9134
2/14/1974,103.6533
2/15/1974,103.7635
2/18/1974,.
2/19/1974,103.1905
2/20/1974,102.9324
2/21/1974,102.0829
2/22/1974,101.6053
2/25/1974,102.3413
2/26/1974,102.3216
2/27/1974,102.4284
2/28/1974,102.4728
3/1/1974,103.0862
3/4/1974,103.1554
3/5/1974,102.5369
3/6/1974,102.3756
3/7/1974,102.3786
3/8/1974,102.2428
3/11/1974,102.029
3/12/1974,101.6087
3/13/1974,101.5609
3/14/1974,101.793
3/15/1974,101.7372
3/18/1974,101.693
3/19/1974,101.4806
3/20/1974,100.9934
3/21/1974,100.3554
3/22/1974,100.4782
3/25/1974,99.7925
3/26/1974,99.8641
3/27/1974,100.1773
3/28/1974,99.498
3/29/1974,99.8272
4/1/1974,100.2785
4/2/1974,99.7776
4/3/1974,100.0417
4/4/1974,100.293
4/5/1974,100.2619
4/8/1974,100.2318
4/9/1974,100.6261
4/10/1974,100.6726
4/11/1974,100.3792
4/12/1974,100.5279
4/15/1974,100.5118
4/16/1974,100.428
4/17/1974,100.0941
4/18/1974,99.9061
4/19/1974,99.8835
4/22/1974,99.761
4/23/1974,99.1936
4/24/1974,99.0842
4/25/1974,99.346
4/26/1974,99.4176
4/29/1974,98.9473
4/30/1974,99.05
5/1/1974,99.0443
5/2/1974,99.2022
5/3/1974,99.2658
5/6/1974,98.9168
5/7/1974,99.1116
5/8/1974,98.586
5/9/1974,98.5558
5/10/1974,98.4515
5/13/1974,98.1501
5/14/1974,98.181
5/15/1974,98.8159
