Date,USNIM
1/1/1984,3.78
4/1/1984,3.87
7/1/1984,3.91
10/1/1984,3.95
1/1/1985,3.97
4/1/1985,4.04
7/1/1985,4.05
10/1/1985,4.06
1/1/1986,3.95
4/1/1986,3.95
7/1/1986,3.93
10/1/1986,3.92
1/1/1987,4.01
4/1/1987,3.99
7/1/1987,4.02
10/1/1987,4.07
1/1/1988,4.01
4/1/1988,4.03
7/1/1988,4.09
10/1/1988,4.21
1/1/1989,4.21
4/1/1989,4.19
7/1/1989,4.13
10/1/1989,4.13
1/1/1990,4
4/1/1990,4
7/1/1990,4
10/1/1990,4.03
1/1/1991,4.08
4/1/1991,4.11
7/1/1991,4.16
10/1/1991,4.2
1/1/1992,4.33
4/1/1992,4.44
7/1/1992,4.49
10/1/1992,4.54
1/1/1993,4.51
4/1/1993,4.51
7/1/1993,4.52
10/1/1993,4.49
1/1/1994,4.91
4/1/1994,4.58
7/1/1994,4.5
10/1/1994,4.48
1/1/1995,4.21
4/1/1995,4.21
7/1/1995,4.23
10/1/1995,4.25
1/1/1996,4.18
4/1/1996,4.27
7/1/1996,4.38
10/1/1996,4.37
1/1/1997,4.14
4/1/1997,4.36
7/1/1997,4.36
10/1/1997,4.34
1/1/1998,3.97
4/1/1998,4.04
7/1/1998,4.05
10/1/1998,4.1
1/1/1999,3.92
4/1/1999,3.95
7/1/1999,4.14
10/1/1999,4.13
1/1/2000,3.93
4/1/2000,3.92
7/1/2000,3.94
10/1/2000,3.93
1/1/2001,3.76
4/1/2001,3.78
7/1/2001,3.82
10/1/2001,4.02
1/1/2002,4.08
4/1/2002,4.1
7/1/2002,4.06
10/1/2002,4.04
1/1/2003,3.77
4/1/2003,3.75
7/1/2003,3.71
10/1/2003,3.75
1/1/2004,3.7
4/1/2004,3.6
7/1/2004,3.5
10/1/2004,3.67
1/1/2005,3.54
4/1/2005,3.59
7/1/2005,3.57
10/1/2005,3.54
1/1/2006,3.45
4/1/2006,3.44
7/1/2006,3.45
10/1/2006,3.47
1/1/2007,3.33
4/1/2007,3.33
7/1/2007,3.39
10/1/2007,3.35
1/1/2008,3.3
4/1/2008,3.31
7/1/2008,3.31
10/1/2008,3.15
1/1/2009,3.26
4/1/2009,3.32
7/1/2009,3.37
10/1/2009,3.47
1/1/2010,3.83
4/1/2010,3.77
7/1/2010,3.73
10/1/2010,3.7
1/1/2011,3.56
4/1/2011,3.54
7/1/2011,3.55
10/1/2011,3.53
1/1/2012,3.45
4/1/2012,3.41
7/1/2012,3.39
10/1/2012,3.37
1/1/2013,3.2
4/1/2013,3.2
7/1/2013,3.19
10/1/2013,3.2
1/1/2014,3.1
4/1/2014,3.09
7/1/2014,3.09
10/1/2014,3.11
1/1/2015,2.95
4/1/2015,2.98
7/1/2015,2.99
10/1/2015,3.02
1/1/2016,3.02
4/1/2016,3.01
7/1/2016,3.03
10/1/2016,3.06
1/1/2017,3.1
4/1/2017,3.12
7/1/2017,3.15
10/1/2017,3.17
1/1/2018,3.23
4/1/2018,3.3
7/1/2018,3.33
10/1/2018,3.35
