Date,bearMarket
10/1/1990,0.0
1/1/1991,0.0
4/1/1991,0.0
7/1/1991,0.0
10/1/1991,0.0
1/1/1992,0.0
4/1/1992,0.0
7/1/1992,0.0
10/1/1992,0.0
1/1/1993,0.0
4/1/1993,0.0
7/1/1993,0.0
10/1/1993,0.0
1/1/1994,0.0
4/1/1994,0.0
7/1/1994,0.0
10/1/1994,0.0
1/1/1995,0.0
4/1/1995,0.0
7/1/1995,0.0
10/1/1995,0.0
1/1/1996,0.0
4/1/1996,0.0
7/1/1996,0.0
10/1/1996,0.0
1/1/1997,0.0
4/1/1997,0.0
7/1/1997,0.0
10/1/1997,0.0
1/1/1998,0.0
4/1/1998,0.0
7/1/1998,0.0
10/1/1998,0.0
1/1/1999,0.0
4/1/1999,0.0
7/1/1999,0.0
10/1/1999,0.0
1/1/2000,0.0
4/1/2000,0.0
7/1/2000,1.0
10/1/2000,1.0
1/1/2001,1.0
4/1/2001,1.0
7/1/2001,1.0
10/1/2001,1.0
1/1/2002,1.0
4/1/2002,1.0
7/1/2002,1.0
10/1/2002,1.0
1/1/2003,1.0
4/1/2003,1.0
7/1/2003,0.0
10/1/2003,0.0
1/1/2004,0.0
4/1/2004,0.0
7/1/2004,0.0
10/1/2004,0.0
1/1/2005,0.0
4/1/2005,0.0
7/1/2005,0.0
10/1/2005,0.0
1/1/2006,0.0
4/1/2006,0.0
7/1/2006,0.0
10/1/2006,0.0
1/1/2007,0.0
4/1/2007,0.0
7/1/2007,0.0
10/1/2007,0.0
1/1/2008,0.0
4/1/2008,1.0
7/1/2008,1.0
10/1/2008,1.0
1/1/2009,1.0
4/1/2009,1.0
7/1/2009,1.0
10/1/2009,0.0
1/1/2010,0.0
4/1/2010,0.0
7/1/2010,0.0
10/1/2010,0.0
1/1/2011,0.0
4/1/2011,0.0
7/1/2011,0.0
10/1/2011,0.0
1/1/2012,0.0
4/1/2012,0.0
7/1/2012,0.0
10/1/2012,0.0
1/1/2013,0.0
4/1/2013,0.0
7/1/2013,0.0
10/1/2013,0.0
1/1/2014,0.0
4/1/2014,0.0
7/1/2014,0.0
10/1/2014,0.0
1/1/2015,0.0
4/1/2015,0.0
7/1/2015,0.0
10/1/2015,0.0
1/1/2016,0.0
4/1/2016,0.0
7/1/2016,0.0
10/1/2016,0.0
1/1/2017,0.0
4/1/2017,0.0
7/1/2017,0.0
10/1/2017,0.0
1/1/2018,0.0
4/1/2018,0.0
7/1/2018,0.0
10/1/2018,0.0
