Date,GDP,SP500,T10T3,uRate,nfci,USDIndex,ManufacturingConfidence,HousePriceIndex,ConsumerSentiment,PeopleOutputPerHour,GS10,FEDFUNDS,USNIM,govtToGDP,CorporateProfits,VIX,gdpGrowth
10/1/1990,6004.73,314.94,1.34,5.9,0.25,86.2694,97.85,165.2,63.9,48.054,8.72,8.11,4.03,0.334054154,413.234,28.06,-1.0
1/1/1991,6035.18,326.45,1.31,6.4,0.37,84.87799999999999,97.13,166.57,66.8,47.927,8.09,6.91,4.08,0.327388355,423.45,27.93,-0.5
4/1/1991,6126.86,371.3,2.13,6.7,-0.2,90.2577,97.82,167.7,81.8,48.449,8.04,5.91,4.11,0.335430764,425.449,17.42,-0.1
7/1/1991,6205.94,377.92,2.5,6.8,-0.36,92.8816,99.58,167.99,82.9,49.31100000000001,8.27,5.82,4.16,0.33907305200000004,431.732,18.64,1.2
10/1/1991,6264.54,389.2,2.2,7.0,-0.49,88.2307,99.78,170.35,78.3,49.625,7.53,5.21,4.2,0.343761713,436.638,14.81,2.9
1/1/1992,6363.1,417.26,2.82,7.3,-0.5,84.1381,99.11,171.67,67.5,50.304,7.03,4.03,4.33,0.346297765,459.017,18.75,3.2
4/1/1992,6470.76,404.23,3.35,7.4,-0.62,89.7026,100.15,171.64,77.2,51.317,7.48,3.73,4.44,0.346077116,473.119,16.48,3.7
7/1/1992,6566.64,412.88,3.47,7.7,-0.75,84.6773,100.05,173.6,76.6,52.469,6.84,3.25,4.49,0.346190998,451.034,13.34,4.4
10/1/1992,6680.8,416.29,3.56,7.3,-0.56,84.28399999999999,99.62,174.47,73.3,52.45,6.59,3.1,4.54,0.344363844,467.072,16.31,3.3
1/1/1993,6729.46,435.38,3.41,7.3,-0.74,92.1416,100.37,174.54,89.3,52.81,6.6,3.02,4.51,0.34320663799999995,470.684,13.35,2.8
4/1/1993,6808.94,450.3,3.1,7.1,-0.75,88.9357,99.64,176.2,85.6,52.707,5.97,2.96,4.51,0.341183112,497.402,13.02,2.3
7/1/1993,6882.1,449.02,2.74,6.9,-0.88,89.6074,99.33,177.62,77.0,52.65600000000001,5.81,3.06,4.52,0.34175755700000005,502.315,11.51,2.6
10/1/1993,7013.74,461.28,2.36,6.8,-0.85,89.7271,99.91,179.09,82.7,53.305,5.33,2.99,4.49,0.338258715,553.377,11.83,3.4
1/1/1994,7115.65,465.44,2.76,6.6,-0.88,92.4979,100.57,180.22,94.3,53.617,5.75,3.05,4.91,0.333073484,560.915,12.57,4.2
4/1/1994,7246.93,438.92,3.34,6.4,-0.71,90.7396,100.9,181.31,92.6,54.19300000000001,6.97,3.56,4.58,0.330231515,582.456,18.13,4.3
7/1/1994,7331.08,446.2,3.02,6.1,-0.69,87.3413,101.11,182.06,89.0,54.356,7.3,4.26,4.5,0.331651088,619.929,14.36,4.1
10/1/1994,7455.29,461.74,2.61,5.8,-0.68,85.9581,101.21,181.9,92.7,54.938,7.74,4.76,4.48,0.331869272,643.516,15.44,3.5
1/1/1995,7522.29,459.11,1.93,5.6,-0.52,87.46600000000001,100.67,182.86,97.6,55.342,7.78,5.53,4.21,0.33343481,662.3489999999998,13.53,2.4
