Date,SP500,T10T3,uRate,nfci,USDIndex,ManufacturingConfidence,HousePriceIndex,ConsumerSentiment,PeopleOutputPerHour,GDP
10/1/1990,314.94,1.34,5.9,0.25,86.2694,97.85,165.2,63.9,48.054,6004.73
1/1/1991,326.45,1.31,6.4,0.37,84.878,97.13,166.57,66.8,47.927,6035.18
4/1/1991,371.3,2.13,6.7,-0.2,90.2577,97.82,167.7,81.8,48.449,6126.86
7/1/1991,377.92,2.5,6.8,-0.36,92.8816,99.58,167.99,82.9,49.311,6205.94
10/1/1991,389.2,2.2,7,-0.49,88.2307,99.78,170.35,78.3,49.625,6264.54
1/1/1992,417.26,2.82,7.3,-0.5,84.1381,99.11,171.67,67.5,50.304,6363.1
4/1/1992,404.23,3.35,7.4,-0.62,89.7026,100.15,171.64,77.2,51.317,6470.76
7/1/1992,412.88,3.47,7.7,-0.75,84.6773,100.05,173.6,76.6,52.469,6566.64
10/1/1992,416.29,3.56,7.3,-0.56,84.284,99.62,174.47,73.3,52.45,6680.8
1/1/1993,435.38,3.41,7.3,-0.74,92.1416,100.37,174.54,89.3,52.81,6729.46
4/1/1993,450.3,3.1,7.1,-0.75,88.9357,99.64,176.2,85.6,52.707,6808.94
7/1/1993,449.02,2.74,6.9,-0.88,89.6074,99.33,177.62,77,52.656,6882.1
10/1/1993,461.28,2.36,6.8,-0.85,89.7271,99.91,179.09,82.7,53.305,7013.74
1/1/1994,465.44,2.76,6.6,-0.88,92.4979,100.57,180.22,94.3,53.617,7115.65
4/1/1994,438.92,3.34,6.4,-0.71,90.7396,100.9,181.31,92.6,54.193,7246.93
7/1/1994,446.2,3.02,6.1,-0.69,87.3413,101.11,182.06,89,54.356,7331.08
10/1/1994,461.74,2.61,5.8,-0.68,85.9581,101.21,181.9,92.7,54.938,7455.29
1/1/1995,459.11,1.93,5.6,-0.52,87.466,100.67,182.86,97.6,55.342,7522.29
4/1/1995,501.85,1.2,5.8,-0.65,81.3046,99.38,185.85,92.5,55.949,7581
7/1/1995,547.09,0.53,5.7,-0.62,80.4226,98.93,188.72,94.4,56.292,7683.12
10/1/1995,581.72,0.62,5.5,-0.65,84.1324,98.66,190.19,90.2,56.897,7772.59
1/1/1996,620.73,0.4,5.6,-0.68,85.2252,98.43,192.34,89.3,57.742,7868.47
4/1/1996,653.73,1.11,5.6,-0.62,86.7265,99.06,192.67,92.7,58.172,8032.84
7/1/1996,675.88,1.47,5.5,-0.66,87.6481,99.55,193.53,94.7,58.928,8131.41
10/1/1996,689.08,1.55,5.2,-0.69,87.9329,99.67,195.04,96.5,59.329,8259.77
1/1/1997,737.01,1.35,5.3,-0.62,88.7042,100.13,196.66,97.4,60.047,8362.66
4/1/1997,759.64,1.58,5.1,-0.67,93.0883,100.23,198.31,101.4,60.781,8518.83
7/1/1997,891.03,1.27,4.9,-0.68,92.6502,100.65,201.04,107.1,61.765,8662.82
10/1/1997,955.41,0.94,4.7,-0.62,94.6308,100.49,203.64,105.6,62.616,8765.91
1/1/1998,975.04,0.35,4.6,-0.55,98.3533,100.14,206.68,106.6,63.058,8866.48
4/1/1998,1108.15,0.5,4.3,-0.65,99.246,99.7,208.55,108.7,63.322,8969.7
